9	 number of slices 
50	 points on slice 	1 
	 1.788127 	 0.000000 	 -0.000000 
	 1.771830 	 -0.236292 	 0.000000 
	 1.736549 	 -0.474093 	 0.000000 
	 1.678929 	 -0.712672 	 0.000000 
	 1.594229 	 -0.948966 	 0.000000 
	 1.477024 	 -1.176501 	 -0.000000 
	 1.325125 	 -1.387345 	 0.000000 
	 1.142703 	 -1.577635 	 0.000000 
	 0.934241 	 -1.745223 	 0.000000 
	 0.703294 	 -1.888131 	 0.000000 
	 0.452670 	 -2.003382 	 0.000000 
	 0.185231 	 -2.085505 	 0.000000 
	 -0.094364 	 -2.124418 	 0.000000 
	 -0.376947 	 -2.108483 	 -0.000000 
	 -0.649090 	 -2.031929 	 -0.000000 
	 -0.895515 	 -1.894748 	 -0.000000 
	 -1.100302 	 -1.700990 	 -0.000000 
	 -1.247935 	 -1.458919 	 -0.000000 
	 -1.347672 	 -1.204518 	 -0.000000 
	 -1.433420 	 -0.974181 	 -0.000000 
	 -1.510452 	 -0.763275 	 -0.000000 
	 -1.581778 	 -0.564648 	 -0.000000 
	 -1.650409 	 -0.371150 	 -0.000000 
	 -1.719356 	 -0.175629 	 -0.000000 
	 -1.790076 	 0.029039 	 -0.000000 
	 -1.832106 	 0.246764 	 -0.000000 
	 -1.788941 	 0.462262 	 -0.000000 
	 -1.647337 	 0.644975 	 -0.000000 
	 -1.472713 	 0.791522 	 -0.000000 
	 -1.314365 	 0.921271 	 -0.000000 
	 -1.168711 	 1.038672 	 -0.000000 
	 -1.030624 	 1.147566 	 -0.000000 
	 -0.894975 	 1.251797 	 -0.000000 
	 -0.756637 	 1.355205 	 -0.000000 
	 -0.610482 	 1.461634 	 -0.000000 
	 -0.451382 	 1.574924 	 -0.000000 
	 -0.274211 	 1.698918 	 -0.000000 
	 -0.073694 	 1.833728 	 -0.000000 
	 0.150999 	 1.902006 	 -0.000000 
	 0.378824 	 1.886428 	 -0.000000 
	 0.595614 	 1.814673 	 -0.000000 
	 0.798363 	 1.710329 	 -0.000000 
	 0.989770 	 1.587398 	 -0.000000 
	 1.175131 	 1.452910 	 -0.000000 
	 1.361285 	 1.309342 	 -0.000000 
	 1.533327 	 1.141204 	 -0.000000 
	 1.655951 	 0.934543 	 -0.000000 
	 1.728585 	 0.705558 	 -0.000000 
	 1.768542 	 0.470621 	 -0.000000 
	 1.787153 	 0.235342 	 0.000000 
50	 points on slice 	2 
	 2.162598 	 -0.814553 	 -0.673066 
	 2.119720 	 -1.118777 	 -0.639981 
	 2.009698 	 -1.406182 	 -0.616454 
	 1.843254 	 -1.663644 	 -0.602924 
	 1.643114 	 -1.888494 	 -0.597199 
	 1.429705 	 -2.087555 	 -0.596157 
	 1.213728 	 -2.271220 	 -0.597316 
	 0.993586 	 -2.444359 	 -0.600248 
	 0.763440 	 -2.606004 	 -0.605722 
	 0.518327 	 -2.751845 	 -0.614827 
	 0.254981 	 -2.872937 	 -0.629037 
	 -0.026186 	 -2.954786 	 -0.650112 
	 -0.318261 	 -2.981154 	 -0.679302 
	 -0.609453 	 -2.952891 	 -0.715192 
	 -0.891282 	 -2.881379 	 -0.755422 
	 -1.160135 	 -2.777073 	 -0.798289 
	 -1.415550 	 -2.647285 	 -0.842833 
	 -1.657920 	 -2.495307 	 -0.888687 
	 -1.881005 	 -2.315422 	 -0.935870 
	 -2.067857 	 -2.098386 	 -0.983647 
	 -2.198327 	 -1.843630 	 -1.029849 
	 -2.266046 	 -1.566033 	 -1.071916 
