1,	 -0.211802,	 -0.174062,	 -0.238162,	 -0.245376,	 -0.268428,	 -0.196720,	
1,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


2,	 -0.232236,	 -0.242911,	 -0.148949,	 -0.180998,	 -0.239881,	 -0.145122,	
2,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


3,	 -0.278604,	 -0.256551,	 -0.135084,	 -0.154753,	 -0.266419,	 -0.132500,	
3,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


4,	 -0.274085,	 -0.240529,	 -0.149157,	 -0.207096,	 -0.212753,	 -0.192351,	
4,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


5,	 -0.285459,	 -0.213276,	 -0.207925,	 -0.239729,	 -0.251598,	 -0.220529,	
5,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


