1,	 -0.207254,	 -0.159661,	 -0.217627,	 -0.235864,	 -0.244775,	 -0.196720,	
1,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


2,	 -0.226305,	 -0.225098,	 -0.139611,	 -0.175977,	 -0.206265,	 -0.117277,	
2,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


3,	 -0.252217,	 -0.212987,	 -0.135084,	 -0.140769,	 -0.250671,	 -0.110860,	
3,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


4,	 -0.252217,	 -0.212433,	 -0.149157,	 -0.178356,	 -0.185275,	 -0.175240,	
4,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


5,	 -0.269462,	 -0.198783,	 -0.196473,	 -0.220638,	 -0.231815,	 -0.196234,	
5,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	 1.000000,	


