365 	 total number of guide points 
   1        3.10293700       -0.08963700        0.00000000        0.00000000      358.34531159        0.50712440
   2        3.02641500       -0.48241600        0.00000000        0.00000000      350.94314498        0.50114842
   3        2.89119500       -0.85593800        0.00000000        0.00000000      343.50861742        0.49367368
   4        2.70944700       -1.20418700        0.00000000        0.00000000      336.03771704        0.48604320
   5        2.49053500       -1.52436900        0.00000000        0.00000000      328.53066349        0.47918984
   6        2.24123900       -1.81547300        0.00000000        0.00000000      320.99145602        0.47373126
   7        1.96683800       -2.07789400        0.00000000        0.00000000      313.42722786        0.47018743
   8        1.67191700       -2.31409600        0.00000000        0.00000000      305.84782884        0.46922905
   9        1.35816000       -2.52596500        0.00000000        0.00000000      298.26601540        0.47123021
  10        1.02506800       -2.71341400        0.00000000        0.00000000      290.69545977        0.47622309
  11        0.67116500       -2.87320200        0.00000000        0.00000000      283.14822803        0.48384541
  12        0.29553400       -2.99692900        0.00000000        0.00000000      275.63185907        0.49310221
  13       -0.09928800       -3.06704700       -0.00000000        0.00000000      268.14583951        0.50175734
  14       -0.50189000       -3.05760900        0.00000000        0.00000000      260.67833342        0.50626469
  15       -0.89286700       -2.96119400       -0.00000000        0.00000000      253.22075245        0.50541283
  16       -1.25650800       -2.79277900       -0.00000000        0.00000000      245.77639293        0.50081584
  17       -1.58992800       -2.58069800       -0.00000000        0.00000000      238.36342171        0.49608532
  18       -1.90623200       -2.35512500       -0.00000000        0.00000000      231.01338239        0.49589695
  19       -2.20286900       -2.10683800       -0.00000000        0.00000000      223.72351864        0.49866265
  20       -2.44162500       -1.80337500       -0.00000000        0.00000000      216.44943507        0.49672979
  21       -2.60761300       -1.45646900       -0.00000000        0.00000000      209.18532030        0.48935794
  22       -2.72274200       -1.09803900       -0.00000000        0.00000000      201.96344485        0.48160031
  23       -2.80417300       -0.74108800       -0.00000000        0.00000000      194.80369627        0.47620248
  24       -2.85706800       -0.38673900       -0.00000000        0.00000000      187.70882768        0.47355381
  25       -2.87898600       -0.03375900       -0.00000000        0.00000000      180.67181972        0.47295096
  26       -2.85683100        0.31660800       -0.00000000        0.00000000      173.67600766        0.47220677
  27       -2.76914000        0.65455800       -0.00000000        0.00000000      166.70076341        0.46778295
  28       -2.61078500        0.96359600       -0.00000000        0.00000000      159.74176062        0.45817481
  29       -2.40697600        1.23615000       -0.00000000        0.00000000      152.81634040        0.44627262
  30       -2.19142300        1.48131900       -0.00000000        0.00000000      145.94279516        0.43685408
  31       -1.97257900        1.70774400       -0.00000000        0.00000000      139.11589353        0.43125258
  32       -1.74715100        1.91874300       -0.00000000        0.00000000      132.32007344        0.42905650
  33       -1.51159500        2.11612300       -0.00000000        0.00000000      125.53908644        0.42992000
  34       -1.26230700        2.30020600       -0.00000000        0.00000000      118.75709849        0.43354060
  35       -0.99578900        2.46964600       -0.00000000        0.00000000      111.95984562        0.43960753
  36       -0.70899600        2.62118800       -0.00000000        0.00000000      105.13555302        0.44774835
  37       -0.39993100        2.74952600       -0.00000000        0.00000000       98.27589171        0.45748578
  38       -0.06845700        2.84736100       -0.00000000        0.00000000       91.37725484        0.46820229
  39        0.28116200        2.90004100       -0.00000000        0.00000000       84.46242130        0.47821717
  40        0.62504800        2.84414200       -0.00000000        0.00000000       77.60532637        0.47796922
  41        0.97338800        2.75441000       -0.00000000        0.00000000       70.53697084        0.47939343
  42        1.33504600        2.67458300       -0.00000000        0.00000000       63.47344481        0.48973397
  43        1.66971200        2.51304900       -0.00000000        0.00000000       56.39926868        0.49396808
  44        1.94523700        2.26445200       -0.00000000        0.00000000       49.33636252        0.48912245
  45        2.19738700        1.99369800        0.00000000        0.00000000       42.21758342        0.48635534
  46        2.44232500        1.71143100        0.00000000        0.00000000       35.02040582        0.48867072
  47        2.67192200        1.40615300        0.00000000        0.00000000       27.75649634        0.49429652
  48        2.87287900        1.07075900        0.00000000        0.00000000       20.44107240        0.50134669
  49        3.02567300        0.70362900        0.00000000        0.00000000       13.09160771        0.50745280
  50        3.10646100        0.31143000        0.00000000        0.00000000        5.72490793        0.50980477
  51        3.05311300       -0.87523400       -0.56651400       -4.86744190      344.00402422        0.51964568
  52        2.97496700       -1.28676800       -0.52399900       -4.48076946      336.60997996        0.52916184
  53        2.82597800       -1.67696200       -0.49201400       -4.19343594      329.31470662        0.53565822
  54        2.60746400       -2.02998500       -0.47238400       -4.02063599      322.09822606        0.53829385
  55        2.33607000       -2.33663600       -0.46440200       -3.95278297      314.99305982        0.53819435
  56        2.03586500       -2.59948300       -0.46507300       -3.95915588      308.06736295        0.53785951
  57        1.72141200       -2.82487800       -0.47198800       -4.01621940      301.35711434        0.53881963
  58        1.39942200       -3.01922000       -0.48360500       -4.10916627      294.86793421        0.54180835
  59        1.07174500       -3.18760600       -0.49908300       -4.22976473      288.58380511        0.54710460
  60        0.73741000       -3.33328000       -0.51812800       -4.37469537      282.47443248        0.55473165
  61        0.39395100       -3.45710200       -0.54090500       -4.54473564      276.50104678        0.56451255
  62        0.03850000       -3.55630200       -0.56807900       -4.74544783      270.62025141        0.57594808
  63       -0.33039100       -3.62305200       -0.60078500       -4.98759735      264.78953185        0.58802180
  64       -0.71035300       -3.64637300       -0.64012600       -5.28291223      258.97623222        0.59939859
  65       -1.09414900       -3.61539900       -0.68664800       -5.63953409      253.16230827        0.60871592
  66       -1.47151600       -3.52517300       -0.73982700       -6.05619476      247.34283716        0.61524539
  67       -1.83488200       -3.38160400       -0.79808700       -6.51922625      241.51543246        0.61965620
